Age,Fare,C,Q,Family,Child,Female,Class_1,Class_2
22,7,0,0,1,0,0,0,0
38,71,1,0,1,0,1,1,0
26,7,0,0,0,0,1,0,0
35,53,0,0,1,0,1,1,0
35,8,0,0,0,0,0,0,0
21,8,0,1,0,0,0,0,0
54,51,0,0,0,0,0,1,0
2,21,0,0,1,1,0,0,0
27,11,0,0,1,0,1,0,0
14,30,1,0,1,1,0,0,1
4,16,0,0,1,1,0,0,0
58,26,0,0,0,0,1,1,0
20,8,0,0,0,0,0,0,0
39,31,0,0,1,0,0,0,0
14,7,0,0,0,1,0,0,0
55,16,0,0,0,0,1,0,1
2,29,0,1,1,1,0,0,0
24,13,0,0,0,0,0,0,1
31,18,0,0,1,0,1,0,0
28,7,1,0,0,0,1,0,0
35,26,0,0,0,0,0,0,1
34,13,0,0,0,0,0,0,1
15,8,0,1,0,1,0,0,0
28,35,0,0,0,0,0,1,0
8,21,0,0,1,1,0,0,0
38,31,0,0,1,0,1,0,0
34,7,1,0,0,0,0,0,0
19,263,0,0,1,0,0,1,0
17,7,0,1,0,0,1,0,0
40,7,0,0,0,0,0,0,0
40,27,1,0,0,0,0,1,0
24,146,1,0,1,0,1,1,0
31,7,0,1,0,0,1,0,0
66,10,0,0,0,0,0,0,1
28,82,1,0,1,0,0,1,0
42,52,0,0,1,0,0,1,0
21,7,1,0,0,0,0,0,0
21,8,0,0,0,0,0,0,0
18,18,0,0,1,0,1,0,0
14,11,1,0,1,1,0,0,0
40,9,0,0,1,0,1,0,0
27,21,0,0,1,0,1,0,1
40,7,1,0,0,0,0,0,0
3,41,1,0,1,1,0,0,1
19,7,0,1,0,0,1,0,0
41,8,0,0,0,0,0,0,0
38,15,0,1,1,0,0,0,0
29,7,0,1,0,0,1,0,0
41,21,1,0,1,0,0,0,0
18,17,0,0,1,0,1,0,0
7,39,0,0,1,1,0,0,0
21,7,0,0,0,0,0,0,0
49,76,1,0,1,0,1,1,0
29,26,0,0,1,0,1,0,1
65,61,1,0,1,0,0,1,0
33,35,0,0,0,0,0,1,0
21,10,0,0,0,0,1,0,1
28,7,1,0,0,0,0,0,0
5,27,0,0,1,1,0,0,1
11,46,0,0,1,1,0,0,0
22,7,1,0,0,0,0,0,0
38,80,0,0,0,0,1,1,0
